sortedformula,icsdnum,energyperatom,reduced_composition
Ge1K3S3,47111.0,-3.94299142857,Ge1K3S3
Ge1K3Se3,47112.0,-3.62749414286,Ge1K3Se3
Ge1K3Te3,10108.0,-3.28271203571,Ge1K3Te3
Ge1K4O4,412135.0,-4.87168877778,Ge1K4O4
Ge1K4S4,418257.0,-3.90530491667,Ge1K4S4
Ge1K4Se4,418258.0,-3.5709342777800006,Ge1K4Se4
Ge1La2Mg1O6,97016.0,-7.2995103000000015,Ge1La2Mg1O6
Ge1La2O5,59727.0,-7.64549325,Ge1La2O5
Ge1La2S5,2528.0,-5.7373710625,Ge1La2S5
Ge1Li1,42062.0,-3.54526525,Ge1Li1
Ge1Li1Mg2,53671.0,-2.55795875,Ge1Li1Mg2
Ge1Li1Ni2,53673.0,-3.85296875,Ge1Li1Ni2
Ge1Li1Pd2,42130.0,-3.707339,Ge1Li1Pd2
Ge1Li1Rh2,417739.0,-4.50419825,Ge1Li1Rh2
Ge1Li1Te2,35676.0,-3.616778500000001,Ge1Li1Te2
Ge1Li1Y1,32029.0,-4.72132344444,Ge1Li1Y1
Ge1Li1Zn1,171496.0,-2.84796211111,Ge1Li1Zn1
Ge1Li2Pb1S4,281011.0,-4.395588625,Ge1Li2Pb1S4
Ge1Li2Sn1,636906.0,-3.33937225,Ge1Li2Sn1
Ge1Li2Zn1,53678.0,-2.75167475,Ge1Li2Zn1
Ge1Mg1Mn1,66948.0,-4.64297,Ge1Mg1Mn1
Ge1Mg1N2,636948.0,-6.3039575625,Ge1Mg1N2
Ge1Mg1N4Sr3,97382.0,-5.63053625,Ge1Mg1N4Sr3
Ge1Mg1O3,201663.0,-6.368635,Ge1Mg1O3
Ge1Mg1P2,182369.0,-4.556891,Ge1Mg1P2
Ge1Mg1Sr1,42458.0,-3.14775541667,Ge1Mg1Sr1
Ge1Mg2,52283.0,-2.82560633333,Ge1Mg2
Ge1Mg2O4,161258.0,-6.29714164286,Ge1Mg2O4
Ge1Mg2S4,23525.0,-4.4476582142900005,Ge1Mg2S4
Ge1Mn1Nb1,42911.0,-6.59304711111,Ge1Mn1Nb1
Ge1Mn1Ni1,637012.0,-5.437417333330001,Ge1Mn1Ni1
Ge1Mn1Ni2,53687.0,-5.09182575,Ge1Mn1Ni2
Ge1Mn1O3,174042.0,-7.116526,Ge1Mn1O3
Ge1Mn1Rh2,53706.0,-5.72326725,Ge1Mn1Rh2
Ge1Mn1Sc1,637079.0,-6.17174544444,Ge1Mn1Sc1
Ge1Mn2O4,36065.0,-7.33529092857,Ge1Mn2O4
Ge1Mn3,97743.0,-5.0177605000000005,Ge1Mn3
Ge1Mo3,637137.0,-6.751601625,Ge1Mo3
Ge1N1V3,637164.0,-7.0206569000000005,Ge1N1V3
Ge1N2Sr2,82534.0,-5.5998189000000025,Ge1N2Sr2
Ge1N2Zn1,656277.0,-5.8354034375,Ge1N2Zn1
Ge1N6Sr7,249784.0,-5.33956392857,Ge1N6Sr7
Ge1Na1,43275.0,-3.1301048125,Ge1Na1
Ge1Na1Nb1O5,39209.0,-6.9229154375,Ge1Na1Nb1O5
Ge1Na1O4Y1,28213.0,-6.9503295,Ge1Na1O4Y1
Ge1Na2O3,23781.0,-5.48730866667,Ge1Na2O3
Ge1Na2O4Zn1,280089.0,-5.27830025,Ge1Na2O4Zn1
Ge1Na2O5Ti1,20129.0,-6.422545611109999,Ge1Na2O5Ti1
Ge1Na2O5Zr1,20116.0,-6.64233256944,Ge1Na2O5Zr1
Ge1Na2O7Ti1Zn2,28217.0,-5.868561461540001,Ge1Na2O7Ti1Zn2
Ge1Na2S3,23455.0,-4.11707795833,Ge1Na2S3
Ge1Na2Se3,49003.0,-3.7152245,Ge1Na2Se3
Ge1Na2Zn1,240728.0,-2.279901625,Ge1Na2Zn1
Ge1Na3Se3,61400.0,-3.59076907143,Ge1Na3Se3
Ge1Na3Te3,47113.0,-3.22606914286,Ge1Na3Te3
Ge1Na4O4,61496.0,-5.02110233333,Ge1Na4O4
Ge1Na4Se4,60086.0,-3.54042370833,Ge1Na4Se4
Ge1Na5P3,655236.0,-3.41015316667,Ge1Na5P3
Ge1Nb1Sb1,637231.0,-5.599116166669999,Ge1Nb1Sb1
Ge1Nb3,108521.0,-6.70910725,Ge1Nb3
Ge1Nb3Te6,72208.0,-4.947701525,Ge1Nb3Te6
Ge1Ni1,52124.0,-4.47915525,Ge1Ni1
Ge1Ni1Pd1,42369.0,-4.21446683333,Ge1Ni1Pd1
Ge1Ni1Pt2,87348.0,-4.227439125,Ge1Ni1Pt2
Ge1Ni1Sc1,86365.0,-5.25509558333,Ge1Ni1Sc1
Ge1Ni1Ti1,53862.0,-5.27618483333,Ge1Ni1Ti1
Ge1Ni2,53743.0,-4.31778291667,Ge1Ni2
Ge1Ni2O4,69508.0,-5.92949042857,Ge1Ni2O4
Ge1Ni2P1,83754.0,-4.7651325625,Ge1Ni2P1
Ge1Ni2Sr1,419659.0,-3.83097625,Ge1Ni2Sr1
Ge1Ni2Zn1,53865.0,-3.5771495000000004,Ge1Ni2Zn1
Ge1Ni3,104162.0,-4.19276125,Ge1Ni3
Ge1O1Sr3,413385.0,-4.35452025,Ge1O1Sr3
Ge1O2,158591.0,-6.4698720000000005,Ge1O2
Ge1O3Pb1,172521.0,-6.159621466669999,Ge1O3Pb1
Ge1O3Rb2,412138.0,-5.31024551389,Ge1O3Rb2
Ge1O3Sr1,59303.0,-6.569057300000001,Ge1O3Sr1
Ge1O3Zn1,33722.0,-5.7136403,Ge1O3Zn1
Ge1O4Rb4,412136.0,-4.74771091667,Ge1O4Rb4
Ge1O4Sr2,83345.0,-6.50101067857,Ge1O4Sr2
Ge1O4Zn2,68382.0,-5.4355626904799985,Ge1O4Zn2
Ge1O4Zr1,29262.0,-7.748148583330001,Ge1O4Zr1
Ge1O5Pb3,100275.0,-5.85524461111,Ge1O5Pb3
Ge1O5Sc2,4120.0,-7.849303354169999,Ge1O5Sc2
Ge1O5Sr1Ti1,158144.0,-7.231847375,Ge1O5Sr1Ti1
Ge1O5Y2,260425.0,-7.98307509375,Ge1O5Y2
Ge1O7Pb5,8261.0,-5.73272716346,Ge1O7Pb5
Ge1O8Zr3,29263.0,-8.347984916669999,Ge1O8Zr3
Ge1P1,637492.0,-5.00729933333,Ge1P1
Ge1P2Zn1,637511.0,-4.38482325,Ge1P2Zn1
Ge1P3,16294.0,-5.185876125,Ge1P3
Ge1P3Rb5,300186.0,-3.16201433333,Ge1P3Rb5
Ge1P4Sr4,32558.0,-4.62600658333,Ge1P4Sr4
Ge1Pb1S3,2090.0,-4.57825405,Ge1Pb1S3
Ge1Pb2S4,16272.0,-4.5497590714300005,Ge1Pb2S4
Ge1Pd1,76624.0,-4.217830375,Ge1Pd1
Ge1Pd1S3,408505.0,-4.3700425,Ge1Pd1S3
Ge1Pd1Sc1,637547.0,-5.116646,Ge1Pd1Sc1
Ge1Pd1Ti1,409926.0,-5.06098891667,Ge1Pd1Ti1
Ge1Pd1Y1,391466.0,-5.30400366667,Ge1Pd1Y1
Ge1Pd2,53879.0,-4.02894188889,Ge1Pd2
Ge1Pd2Y1,637566.0,-4.8839824375,Ge1Pd2Y1
Ge1Pt1,52127.0,-4.61879775,Ge1Pt1
Ge1Pt1S1,637646.0,-4.70554166667,Ge1Pt1S1
Ge1Pt1Se1,637651.0,-4.4572245000000015,Ge1Pt1Se1
Ge1Pt1Sr1,57115.0,-4.2124945,Ge1Pt1Sr1
Ge1Pt1Zr1,260793.0,-5.924332583330001,Ge1Pt1Zr1
Ge1Pt2,637640.0,-4.36822155556,Ge1Pt2
Ge1Pt3,57114.0,-4.197639875,Ge1Pt3
Ge1Rb1,637669.0,-2.9943374843700004,Ge1Rb1
Ge1Rb2S3,409729.0,-4.1086185,Ge1Rb2S3
Ge1Rb2Se3,402719.0,-3.717517500000002,Ge1Rb2Se3
Ge1Rh1,44861.0,-5.066461125,Ge1Rh1
Ge1Rh1Sc1,637681.0,-5.659154333330001,Ge1Rh1Sc1
Ge1Rh1Te1,260373.0,-4.55525520833,Ge1Rh1Te1
Ge1Rh2,44860.0,-4.92371358333,Ge1Rh2
Ge1Rh3Y2,76345.0,-5.61361166667,Ge1Rh3Y2
Ge1Ru1Sc1,79595.0,-5.96500455556,Ge1Ru1Sc1
Ge1Ru1Zr1,23578.0,-6.47353955556,Ge1Ru1Zr1
Ge1S1,653896.0,-4.6276965,Ge1S1
Ge1S1Zr1,25738.0,-6.247687,Ge1S1Zr1
Ge1S2,1947.0,-4.6267906875,Ge1S2
Ge1S3Sn1,41922.0,-4.58771015,Ge1S3Sn1
Ge1S4Sr2,23420.0,-4.90238407143,Ge1S4Sr2
Ge1S8V4,50502.0,-5.760758538459999,Ge1S8V4
Ge1Sb1,42472.0,-4.237282,Ge1Sb1
Ge1Sb1Ti1,260557.0,-5.16646933333,Ge1Sb1Ti1
Ge1Sb1Zr1,85000.0,-5.6856754999999986,Ge1Sb1Zr1
Ge1Sb4Te7,42875.0,-3.71797616667,Ge1Sb4Te7
Ge1Sc1,637841.0,-5.62870475,Ge1Sc1
Ge1Se1,637853.0,-4.27348725,Ge1Se1
Ge1Se1Zr1,25739.0,-5.927898333330001,Ge1Se1Zr1
Ge1Se2,637858.0,-4.12674494444,Ge1Se2
Ge1Se4Sr2,413023.0,-4.43970557143,Ge1Se4Sr2
Ge1Se8V4,50503.0,-5.21807223077,Ge1Se8V4
Ge1Sr1,659802.0,-3.78125725,Ge1Sr1
Ge1Sr2,90772.0,-3.19495391667,Ge1Sr2
Ge1Te1,56038.0,-3.9750695,Ge1Te1
Ge1Te1Zr1,15575.0,-5.554125,Ge1Te1Zr1
Ge1Te4Zr1,240906.0,-4.48410883333,Ge1Te4Zr1
Ge1Te6Ti1,73014.0,-3.9320638125,Ge1Te6Ti1
Ge1Ti1Y1,90233.0,-5.8986065000000005,Ge1Ti1Y1
Ge1Ti3,638055.0,-5.7730511875,Ge1Ti3
Ge1V1Zr1,88210.0,-6.56382683333,Ge1V1Zr1
Ge1Y1,638131.0,-5.877192,Ge1Y1
Ge1Y1Zn1,163345.0,-4.43625425,Ge1Y1Zn1
Ge1Zr1,638161.0,-6.381813625,Ge1Zr1
Ge22Rh17,80774.0,-5.00396111538,Ge22Rh17
Ge23K4,26300.0,-4.18375355556,Ge23K4
Ge2Hg3K2S8,281504.0,-3.55725363333,Ge2Hg3K2S8
Ge2In1K1O6,65337.0,-5.99946755,Ge2In1K1O6
Ge2In2O7,409548.0,-6.127028,Ge2In2O7
Ge2In6O9Pt1,170897.0,-5.52530322222,Ge2In6O9Pt1
Ge2Ir1Y1,76509.0,-5.9465795625,Ge2Ir1Y1
Ge2Ir2Sr1,165737.0,-5.2217502,Ge2Ir2Sr1
Ge2K1Se4,54901.0,-3.9916685,Ge2K1Se4
Ge2K2Na4O7,62650.0,-5.16823376667,Ge2K2Na4O7
Ge2K2O6Zn1,65740.0,-5.605537,Ge2K2O6Zn1
Ge2K2O7Pb2,30247.0,-5.738183,Ge2K2O7Pb2
Ge2K2O7Zr1,88843.0,-6.63324704167,Ge2K2O7Zr1
Ge2K2Pb1S6,170601.0,-4.36578813636,Ge2K2Pb1S6
Ge2K2S5,411027.0,-4.3379859722199985,Ge2K2S5
Ge2K2Se5,300262.0,-3.9093737222199993,Ge2K2Se5
Ge2K3Nb3O13,200146.0,-6.93839233333,Ge2K3Nb3O13
Ge2K6O7,73550.0,-5.0902962999999986,Ge2K6O7
Ge2La2O7,20623.0,-7.375646840910001,Ge2La2O7
Ge2La5Si1,636877.0,-4.945501,Ge2La5Si1
Ge2Li1Sr1,162582.0,-3.738733,Ge2Li1Sr1
Ge2Li4N6Sr3,96422.0,-5.3783562000000025,Ge2Li4N6Sr3
Ge2Li4Zr1,99161.0,-3.50850014286,Ge2Li4Zr1
Ge2Li7,42063.0,-2.83064627778,Ge2Li7
Ge2Mg1O7Sr2,420522.0,-6.494588041669999,Ge2Mg1O7Sr2
Ge2Mg1Y2,423457.0,-5.0996629,Ge2Mg1Y2
Ge2Mn1Sc1,637080.0,-5.8073603125,Ge2Mn1Sc1
Ge2Mn2Sr1,403.0,-4.4609012,Ge2Mn2Sr1
Ge2Mn2Y1,106983.0,-6.2466474000000005,Ge2Mn2Y1
Ge2Mo1,16822.0,-5.677754416669999,Ge2Mo1
Ge2N2Sr3,82533.0,-5.09445221429,Ge2N2Sr3
Ge2N3Na1,47100.0,-6.13976216667,Ge2N3Na1
Ge2N4Si1,183103.0,-7.05183157143,Ge2N4Si1
Ge2N6Sr5,419164.0,-5.840826807690001,Ge2N6Sr5
Ge2Na1O6Sc1,22503.0,-6.777419900000001,Ge2Na1O6Sc1
Ge2Na1O6V1,99742.0,-6.45273095,Ge2Na1O6V1
Ge2Na2O7Zr1,20402.0,-6.635717,Ge2Na2O7Zr1
Ge2Na2S5,25382.0,-4.29361680556,Ge2Na2S5
Ge2Na2Se5,40453.0,-3.86511038889,Ge2Na2Se5
Ge2Na4Se5,49004.0,-3.71678205682,Ge2Na4Se5
Ge2Na4Te5,37183.0,-3.33435122727,Ge2Na4Te5
Ge2Na6S7,25388.0,-3.99577566667,Ge2Na6S7
Ge2Na6Se7,57089.0,-3.61862196667,Ge2Na6Se7
Ge2Nb1,16503.0,-5.7534730000000005,Ge2Nb1
Ge2Ni1,90341.0,-4.469571,Ge2Ni1
Ge2Ni1Sr1,240343.0,-4.166455625,Ge2Ni1Sr1
Ge2Ni1Y1,637438.0,-5.29130075,Ge2Ni1Y1
Ge2Ni2Sr1,168134.0,-4.1672814,Ge2Ni2Sr1
Ge2Ni2Y1,62935.0,-5.1015418,Ge2Ni2Y1
Ge2Ni3Sr1,419660.0,-4.10626833333,Ge2Ni3Sr1
Ge2Ni5,637367.0,-4.23969621429,Ge2Ni5
Ge2Ni5P3,80191.0,-4.781336425,Ge2Ni5P3
Ge2Ni7Zn6,52178.0,-3.08527203333,Ge2Ni7Zn6
Ge2O7Rb6,73551.0,-4.98881096667,Ge2O7Rb6
Ge2O7Sr2Zn1,39159.0,-6.25163075,Ge2O7Sr2Zn1
Ge2O7Y2,240989.0,-7.61493095455,Ge2O7Y2
Ge2P4Sr3,41182.0,-4.78693913889,Ge2P4Sr3
Ge2Pd2Sr1,181156.0,-4.0608604,Ge2Pd2Sr1
Ge2Pt1,637638.0,-4.64836283333,Ge2Pt1
Ge2Pt2Y1,637662.0,-5.263854900000001,Ge2Pt2Y1
Ge2Pt3,637644.0,-4.48273725,Ge2Pt3
Ge2Rb2S5,411028.0,-4.31875922222,Ge2Rb2S5
Ge2Rb2Se5,411029.0,-3.89175891667,Ge2Rb2Se5
Ge2Rh1Zr1,99175.0,-5.758282625,Ge2Rh1Zr1
Ge2Rh2Sr1,77145.0,-4.729194799999998,Ge2Rh2Sr1
Ge2Rh2Y1,52768.0,-5.5907904,Ge2Rh2Y1
Ge2Ru1Sc1,637748.0,-5.68449904167,Ge2Ru1Sc1
Ge2Ru1Zr1,637776.0,-6.043298875,Ge2Ru1Zr1
Ge2Ru2Sr1,77144.0,-5.0356378,Ge2Ru2Sr1
Ge2Ru2Y1,637769.0,-5.9638918,Ge2Ru2Y1
Ge2Sb2Te5,637823.0,-3.786324,Ge2Sb2Te5
Ge2Sc1,637839.0,-5.30345966667,Ge2Sc1
Ge2Se5Sr2,410790.0,-4.40644880556,Ge2Se5Sr2
Ge2Sr1,10000.0,-4.138774,Ge2Sr1
Ge2Sr1Zn2,411.0,-3.0580952,Ge2Sr1Zn2
Ge2Ti1,638053.0,-5.30445816667,Ge2Ti1
Ge2V1,638088.0,-5.27205333333,Ge2V1
Ge2W1,638120.0,-6.21823866667,Ge2W1
Ge2Y1,76344.0,-5.4091525,Ge2Y1
Ge2Zr1,16696.0,-5.847162333330001,Ge2Zr1
Ge3Hf2Na4O12,65807.0,-6.8290766428600005,Ge3Hf2Na4O12
Ge3Ir1Sr1,168861.0,-4.8376372000000005,Ge3Ir1Sr1
Ge3Ir2S3,636729.0,-4.914935625,Ge3Ir2S3
Ge3Ir2Se3,636733.0,-4.65780003125,Ge3Ir2Se3
Ge3K2O9Ti1,19032.0,-6.4255181,Ge3K2O9Ti1
Ge3La2O9,83341.0,-7.180150535710001,Ge3La2O9
Ge3La4S12,2046.0,-5.55866834211,Ge3La4S12
Ge3Li1Sr2,414573.0,-3.74642675,Ge3Li1Sr2
Ge3Li8Zn2,171497.0,-2.7859237307700004,Ge3Li8Zn2
Ge3Mo5,637142.0,-6.390911,Ge3Mo5
Ge3N4,637158.0,-6.7907018928600005,Ge3N4
Ge3Na1P3,184000.0,-4.65497835714,Ge3Na1P3
Ge3Na4O12Zr2,20189.0,-6.6296717142900015,Ge3Na4O12Zr2
Ge3Nb1O9Rb1,10382.0,-6.73407128571,Ge3Nb1O9Rb1
Ge3Nb5,2003.0,-6.6210575625,Ge3Nb5
Ge3Ni1Y1,60646.0,-5.162432,Ge3Ni1Y1
Ge3Ni5,77958.0,-4.367385625,Ge3Ni5
Ge3Ni5Y1,76357.0,-4.71201238889,Ge3Ni5Y1
Ge3O11Pb5,248064.0,-6.02451949123,Ge3O11Pb5
Ge3O12Sr3Y2,80582.0,-7.1429880875,Ge3O12Sr3Y2
Ge3O8Zn2,27103.0,-5.91272265385,Ge3O8Zn2
Ge3O9Rb2Sn1,19035.0,-5.985975099999999,Ge3O9Rb2Sn1
Ge3O9Rb2Ti1,92.0,-6.45051058889,Ge3O9Rb2Ti1
Ge3Pd1Sr1,168862.0,-4.2513608,Ge3Pd1Sr1
Ge3Pt1Sr1,168863.0,-4.4650038,Ge3Pt1Sr1
Ge3Pt2,637639.0,-4.6377372,Ge3Pt2
Ge3Rh2S3,637680.0,-4.5768015,Ge3Rh2S3
Ge3Rh5,42776.0,-4.9533001875,Ge3Rh5
Ge3Ru2,637740.0,-5.46831925,Ge3Ru2
Ge3Sc5,53905.0,-5.734160375,Ge3Sc5
Ge3Sr5,409374.0,-3.3414555,Ge3Sr5
Ge3Ti5,638054.0,-5.8778214375,Ge3Ti5
Ge3V1,638098.0,-4.945188125,Ge3V1
Ge3V5,638089.0,-6.0463540625,Ge3V5
Ge3W5,638119.0,-7.543168125,Ge3W5
Ge3Y1,88075.0,-5.238308999999999,Ge3Y1
Ge3Y5,656500.0,-5.956247875,Ge3Y5
Ge3Zr5,638151.0,-6.608658875,Ge3Zr5
Ge4Ir1,53655.0,-5.04936786667,Ge4Ir1
Ge4K2O9,31969.0,-6.1138458,Ge4K2O9
Ge4Li15,43235.0,-2.80631110526,Ge4Li15
Ge4Li9,25308.0,-3.0817284615400005,Ge4Li9
Ge4Mo3Sc2,637151.0,-6.12157452778,Ge4Mo3Sc2
Ge4N6Sr11,170982.0,-4.75052111905,Ge4N6Sr11
Ge4Na2O9,51106.0,-6.104129511109999,Ge4Na2O9
Ge4Na3Pt4,32038.0,-3.86841845455,Ge4Na3Pt4
Ge4Na4O13Sc2,166629.0,-6.4632432717400015,Ge4Na4O13Sc2
Ge4Nb3Sc2,637232.0,-6.22288352778,Ge4Nb3Sc2
Ge4Nb3Zr2,20809.0,-6.39326411111,Ge4Nb3Zr2
Ge4Nb5,172871.0,-6.36797197222,Ge4Nb5
Ge4Ni4Sc3,53857.0,-5.106559,Ge4Ni4Sc3
Ge4O9Pb1,201282.0,-6.35371764286,Ge4O9Pb1
Ge4O9Rb2,91.0,-6.07954147778,Ge4O9Rb2
Ge4O9Sr1,82393.0,-6.52422669048,Ge4O9Sr1
Ge4Sc2V3,62313.0,-5.853192611109999,Ge4Sc2V3
Ge4Sc5,637832.0,-5.69353641667,Ge4Sc5
Ge4Se9,93460.0,-4.08535046154,Ge4Se9
Ge4V3Zr2,420540.0,-6.10470711111,Ge4V3Zr2
Ge4Y5,249770.0,-5.94173427778,Ge4Y5
Ge4Zr5,638154.0,-6.52527955556,Ge4Zr5
Ge5Ir3Y2,86503.0,-5.89748545,Ge5Ir3Y2
Ge5Ir4,42909.0,-5.55876977778,Ge5Ir4
Ge5Mg14O24,9371.0,-6.24579075581,Ge5Mg14O24
Ge5N2Sr6,154397.0,-4.48554069231,Ge5N2Sr6
Ge5Rh3Y2,637730.0,-5.505649900000001,Ge5Rh3Y2
Ge5Ru3Y2,86498.0,-5.7899835,Ge5Ru3Y2
Ge5Ti6,16946.0,-5.76069259091,Ge5Ti6
Ge5Y3,20612.0,-5.61400075,Ge5Y3
Ge6Ir7Sc4,636731.0,-6.12016135294,Ge6Ir7Sc4
Ge6Ir7Y4,636762.0,-6.1922207058800005,Ge6Ir7Y4
Ge6Li11,42068.0,-3.19270855882,Ge6Li11
Ge6Li1Ni6,41463.0,-4.30952715385,Ge6Li1Ni6
Ge6Mg1Ni6,636950.0,-4.22928784615,Ge6Mg1Ni6
Ge6Mn6Sc1,89437.0,-5.93470730769,Ge6Mn6Sc1
Ge6Na4O15Sr1,6323.0,-6.059571076919999,Ge6Na4O15Sr1
Ge6Ni6Sc1,41465.0,-4.622069461540001,Ge6Ni6Sc1
Ge6Pt4Y3,76293.0,-5.3805397692299985,Ge6Pt4Y3
Ge6Rh7Sc4,84201.0,-5.55302394118,Ge6Rh7Sc4
Ge6Ru7Sc4,637747.0,-5.85769835294,Ge6Ru7Sc4
Ge6Sr7,424097.0,-3.62854319231,Ge6Sr7
Ge7Mg6Ni16,53680.0,-3.86094213793,Ge7Mg6Ni16
Ge7Nb10,76294.0,-6.51687590196,Ge7Nb10
Ge7Nb6Ni16,637227.0,-5.00206503448,Ge7Nb6Ni16
Ge7Ni16Sc6,637387.0,-4.78917955172,Ge7Ni16Sc6
Ge7Ni16Ti6,637418.0,-4.79463782759,Ge7Ni16Ti6
Ge7Ni16Zr6,637449.0,-5.09125082759,Ge7Ni16Zr6
Ge7Ni4Ti4,637415.0,-5.12438906667,Ge7Ni4Ti4
Ge8K2O17,9296.0,-6.282363611109999,Ge8K2O17
Ge8Li7Rb1,411606.0,-3.4431806875,Ge8Li7Rb1
Ge8Mn9Nb2,90767.0,-6.20767375,Ge8Mn9Nb2
Ge8Na15P1Sn1,417884.0,-2.83922748,Ge8Na15P1Sn1
Ge8Na1Rb7,31508.0,-3.02842259375,Ge8Na1Rb7
Ge8Ni5Sc9,76299.0,-5.35005690909,Ge8Ni5Sc9
Ge8Pd21,52051.0,-3.87139960345,Ge8Pd21
Ge8V11,638084.0,-5.93784331579,Ge8V11
Ge9K4O20,98215.0,-6.16446483333,Ge9K4O20
Ge9Na4O20,68507.0,-6.16201374242,Ge9Na4O20
Ge9Pd25,87204.0,-3.8192717352900014,Ge9Pd25
Hf1I3,23947.0,-4.09470875,Hf1I3
Hf1I4,200826.0,-3.7948602,Hf1I4
Hf1K8Mo6O24,200389.0,-6.82165570513,Hf1K8Mo6O24
Hf1La2S5,638588.0,-6.650701125,Hf1La2S5
Hf1La2Se5,638589.0,-6.0449289375,Hf1La2Se5
Hf1La3Sb5,83906.0,-5.57857966667,Hf1La3Sb5
Hf1Mo1P1,88151.0,-7.87248311111,Hf1Mo1P1
Hf1Mo2O8,59998.0,-8.07530774242,Hf1Mo2O8
Hf1Mo6Na8O24,250245.0,-6.80148435897,Hf1Mo6Na8O24
Hf1N1,183420.0,-9.854916,Hf1N1
Hf1N2Sr1,82538.0,-8.0295775,Hf1N2Sr1
Hf1Nb1P1,75009.0,-7.84304625,Hf1Nb1P1
Hf1Ni2Sb1,638718.0,-5.43455525,Hf1Ni2Sb1
Hf1Ni4P2,638711.0,-5.58241535714,Hf1Ni4P2
Hf1O2,60903.0,-9.62478016667,Hf1O2
Hf1O3Pb1,174114.0,-7.957502875,Hf1O3Pb1
Hf1O3Sr1,162930.0,-8.369237700000001,Hf1O3Sr1
Hf1O4Si1,59111.0,-8.79293975,Hf1O4Si1
Hf1P1,42914.0,-8.00076275,Hf1P1
Hf1P1Ru1,53035.0,-7.49757188889,Hf1P1Ru1
Hf1Pb1S3,65668.0,-6.03983245,Hf1Pb1S3
Hf1Rb2S4,152140.0,-5.10857419643,Hf1Rb2S4
Hf1Rh1Sb1,53036.0,-5.869294,Hf1Rh1Sb1
Hf1Ru1Sb1,107125.0,-6.574306666669999,Hf1Ru1Sb1
Hf1S1Si1,25735.0,-7.0007199999999985,Hf1S1Si1
Hf1S2,182677.0,-7.096863333330001,Hf1S2
Hf1S3,638846.0,-6.330964125,Hf1S3
Hf1S3Sn1,65667.0,-6.0715195999999985,Hf1S3Sn1
Hf1S5Y2,185.0,-6.87081096875,Hf1S5Y2
Hf1Sb1,107591.0,-6.6312355,Hf1Sb1
Hf1Sb2,66780.0,-5.82575925,Hf1Sb2
Hf1Se1Si1,25736.0,-6.638199833330001,Hf1Se1Si1
Hf1Se2,638899.0,-6.44205966667,Hf1Se2
Hf1Se3,638898.0,-5.67275475,Hf1Se3
Hf1Si1,638911.0,-7.506451875,Hf1Si1
Hf1Si1Te1,25737.0,-6.256796833330001,Hf1Si1Te1
Hf1Si2,638923.0,-6.8064128333300005,Hf1Si2
Hf1Te2,638959.0,-5.679881666669999,Hf1Te2
Hf1Te3,638962.0,-5.026845375,Hf1Te3
Hf1Te5,85509.0,-4.41655283333,Hf1Te5
Hf2K2O5,180185.0,-7.74018477778,Hf2K2O5
Hf2La2O7,153815.0,-9.044639454550001,Hf2La2O7
Hf2Ni1P1,405616.0,-7.268425125,Hf2Ni1P1
Hf2O7Y2,153819.0,-9.24519913636,Hf2O7Y2
Hf2P1,24350.0,-8.141038916669999,Hf2P1
Hf2S1,43203.0,-7.808838666669999,Hf2S1
Hf2Sc3Si4,638895.0,-6.6362588888900005,Hf2Sc3Si4
Hf2Si1,42523.0,-7.915233666669999,Hf2Si1
Hf2Te1,83965.0,-6.917698,Hf2Te1
Hf3K4Te17,69064.0,-4.06567740625,Hf3K4Te17
Hf3N1Zn3,638671.0,-5.88437646429,Hf3N1Zn3
Hf3N4,97997.0,-9.82179592857,Hf3N4
Hf3P1,35439.0,-8.1525595,Hf3P1
Hf3P2,82727.0,-8.09993975,Hf3P2
Hf3P3Pd4,280272.0,-6.174839025,Hf3P3Pd4
Hf3Rb4S14,280635.0,-5.21381933333,Hf3Rb4S14
Hf3Sb1,53039.0,-7.468610000000001,Hf3Sb1
Hf3Si2,638913.0,-7.7695351,Hf3Si2
Hf3Te2,75936.0,-6.6938224,Hf3Te2
Hf5K4O12,180186.0,-8.015160809520001,Hf5K4O12
Hf5P7Pd9,92439.0,-5.86372861905,Hf5P7Pd9
Hf5Sb3,410750.0,-7.02933425,Hf5Sb3
Hf5Sb3Zn1,42913.0,-6.44841388889,Hf5Sb3Zn1
Hf5Sb9,413979.0,-5.96137782143,Hf5Sb9
Hf5Si3,638909.0,-7.765128875,Hf5Si3
Hf5Si4,638928.0,-7.6357651944399985,Hf5Si4
Hf5Te4,154358.0,-6.4735893333300005,Hf5Te4
Hf6Ni1Sb2,85966.0,-7.19171477778,Hf6Ni1Sb2
Hf7P4,405208.0,-8.10784163636,Hf7P4
Hf8Mn1Te6,74589.0,-6.604828266669999,Hf8Mn1Te6
Hf9Mo4P1,638625.0,-8.001733999999999,Hf9Mo4P1
Hf9Mo4S1,638628.0,-7.89007857143,Hf9Mo4S1
Hf9Mo4Se1,638630.0,-7.80691525,Hf9Mo4Se1
Hf9P1W4,638765.0,-8.667543285710003,Hf9P1W4
Hf9S1V4,81822.0,-7.50937964286,Hf9S1V4
Hf9S1W4,638867.0,-8.56106607143,Hf9S1W4
Hf9Se1W4,638906.0,-8.47899117857,Hf9Se1W4
Hg1I2,281134.0,-1.42891202083,Hg1I2
Hg1In2S4,56081.0,-3.63468785714,Hg1In2S4
Hg1In2Se4,25649.0,-3.278539,Hg1In2Se4
Hg1In2Te4,25652.0,-2.91673928571,Hg1In2Te4
